COD_UF;COD_MUN;COD_ESPECIE;LATITUDE;LONGITUDE;NV_GEO_COORD
35;3526902;6;-22.561267;-47.399545;1
35;3526902;6;-22.561239;-47.399426;1
35;3526902;1;-22.561158;-47.399431;1
35;3526902;6;-22.561043;-47.399443;1
35;3526902;1;-22.560982;-47.399432;1
35;3526902;1;-22.560931;-47.399426;1
35;3526902;6;-22.560966;-47.399203;1
35;3526902;6;-22.560893;-47.399175;1
35;3526902;1;-22.560899;-47.399045;1
35;3526902;6;-22.560855;-47.399144;1
35;3526902;1;-22.560781;-47.398982;1
35;3526902;6;-22.560825;-47.398809;1
35;3526902;6;-22.560782;-47.398717;1
35;3526902;6;-22.561018;-47.398691;1
35;3526902;1;-22.561173;-47.398627;1
35;3526902;6;-22.561319;-47.398770;1
35;3526902;6;-22.561504;-47.398836;1
35;3526902;1;-22.561637;-47.398983;1
35;3526902;8;-22.561637;-47.398983;1
35;3526902;1;-22.561745;-47.399179;1
35;3526902;8;-22.561663;-47.399302;1
35;3526902;1;-22.561163;-47.399787;1
35;3526902;6;-22.561209;-47.399750;1
35;3526902;6;-22.561885;-47.398979;1
35;3526902;2;-22.561503;-47.398849;1
35;3526902;6;-22.561503;-47.398849;1
35;3526902;6;-22.564478;-47.398026;1
35;3526902;6;-22.563959;-47.398063;1
35;3526902;6;-22.562640;-47.398405;1
35;3526902;6;-22.563221;-47.398747;1
35;3526902;6;-22.563101;-47.398263;1
35;3526902;2;-22.563744;-47.398420;1
35;3526902;6;-22.563744;-47.398420;1
35;3526902;6;-22.563548;-47.398677;1
35;3526902;1;-22.563393;-47.398828;1
35;3526902;8;-22.563366;-47.398810;1
35;3526902;6;-22.563731;-47.399399;1
35;3526902;6;-22.563733;-47.399403;1
35;3526902;6;-22.563603;-47.399205;1
35;3526902;6;-22.563563;-47.399155;1
35;3526902;6;-22.563387;-47.398891;1
35;3526902;6;-22.563447;-47.398926;1
35;3526902;6;-22.563484;-47.398859;1
35;3526902;2;-22.563539;-47.398802;1
35;3526902;1;-22.563584;-47.398671;1
35;3526902;2;-22.563652;-47.398644;1
35;3526902;2;-22.563713;-47.398622;1
35;3526902;6;-22.563713;-47.398622;1
35;3526902;2;-22.563817;-47.398590;1
35;3526902;6;-22.563817;-47.398590;1
35;3526902;6;-22.564057;-47.398397;1
35;3526902;6;-22.564082;-47.398334;1
35;3526902;6;-22.564177;-47.398095;1
35;3526902;6;-22.564210;-47.398079;1
35;3526902;6;-22.564251;-47.398133;1
35;3526902;6;-22.564351;-47.398501;1
35;3526902;6;-22.564587;-47.398544;1
35;3526902;6;-22.564489;-47.398278;1
35;3526902;6;-22.564619;-47.398394;1
35;3526902;6;-22.564813;-47.398598;1
35;3526902;2;-22.564745;-47.398647;1
35;3526902;6;-22.564745;-47.398647;1
35;3526902;6;-22.564596;-47.398794;1
35;3526902;6;-22.564466;-47.398728;1
35;3526902;6;-22.564518;-47.398921;1
35;3526902;6;-22.564238;-47.399012;1
